competencia,municipio,ine,equipe,condicao_id,valor,total_cadastrados
2026-09,Santa Maria Madalena,,arranchadouro,has,1429,5664
2026-09,Santa Maria Madalena,,arranchadouro,diabetes,396,5664
2026-09,Santa Maria Madalena,,arranchadouro,alcool,236,5664
2026-09,Santa Maria Madalena,,arranchadouro,drogas,11,5664
2026-09,Santa Maria Madalena,,arranchadouro,fumante,258,5664
2026-09,Santa Maria Madalena,,arranchadouro,doenca_respiratoria,63,5664
2026-09,Santa Maria Madalena,,arranchadouro,doenca_cardiaca,96,5664
2026-09,Santa Maria Madalena,,arranchadouro,doenca_renal,32,5664
2026-09,Santa Maria Madalena,,arranchadouro,doenca_mental,55,5664
2026-09,Santa Maria Madalena,,arranchadouro,avc,51,5664
2026-09,Santa Maria Madalena,,arranchadouro,infarto,34,5664
2026-09,Santa Maria Madalena,,arranchadouro,cancer,79,5664
2026-09,Santa Maria Madalena,,arranchadouro,hanseniase,1,5664
2026-09,Santa Maria Madalena,,arranchadouro,tuberculose,1,5664
2026-09,Santa Maria Madalena,,arranchadouro,doenca_falciforme,0,5664
2026-09,Santa Maria Madalena,,arranchadouro,internacao_12_meses,0,5664
2026-09,Santa Maria Madalena,,arranchadouro,plantas_medicinais,0,5664
2026-09,Santa Maria Madalena,,arranchadouro,praticas_integrativas,0,5664
2026-09,Santa Maria Madalena,,arranchadouro,acamado,27,5664
2026-09,Santa Maria Madalena,,arranchadouro,domiciliado,33,5664
2026-09,Santa Maria Madalena,,arranchadouro,gestante,18,5664
2026-09,Santa Maria Madalena,,manoel-de-moraes,has,353,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,diabetes,107,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,alcool,39,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,drogas,4,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,fumante,75,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,doenca_respiratoria,30,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,doenca_cardiaca,23,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,doenca_renal,3,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,doenca_mental,21,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,avc,13,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,infarto,1,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,cancer,25,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,hanseniase,0,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,tuberculose,0,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,doenca_falciforme,0,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,internacao_12_meses,0,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,plantas_medicinais,0,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,praticas_integrativas,0,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,acamado,4,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,domiciliado,76,1579
2026-09,Santa Maria Madalena,,manoel-de-moraes,gestante,6,1579
2026-09,Santa Maria Madalena,,triunfo,has,571,2390
2026-09,Santa Maria Madalena,,triunfo,diabetes,187,2390
2026-09,Santa Maria Madalena,,triunfo,alcool,142,2390
2026-09,Santa Maria Madalena,,triunfo,drogas,3,2390
2026-09,Santa Maria Madalena,,triunfo,fumante,92,2390
2026-09,Santa Maria Madalena,,triunfo,doenca_respiratoria,27,2390
2026-09,Santa Maria Madalena,,triunfo,doenca_cardiaca,31,2390
2026-09,Santa Maria Madalena,,triunfo,doenca_renal,14,2390
2026-09,Santa Maria Madalena,,triunfo,doenca_mental,27,2390
2026-09,Santa Maria Madalena,,triunfo,avc,21,2390
2026-09,Santa Maria Madalena,,triunfo,infarto,11,2390
2026-09,Santa Maria Madalena,,triunfo,cancer,19,2390
2026-09,Santa Maria Madalena,,triunfo,hanseniase,0,2390
2026-09,Santa Maria Madalena,,triunfo,tuberculose,1,2390
2026-09,Santa Maria Madalena,,triunfo,doenca_falciforme,0,2390
2026-09,Santa Maria Madalena,,triunfo,internacao_12_meses,0,2390
2026-09,Santa Maria Madalena,,triunfo,plantas_medicinais,0,2390
2026-09,Santa Maria Madalena,,triunfo,praticas_integrativas,0,2390
2026-09,Santa Maria Madalena,,triunfo,acamado,1,2390
2026-09,Santa Maria Madalena,,triunfo,domiciliado,94,2390
2026-09,Santa Maria Madalena,,triunfo,gestante,4,2390
