competencia,municipio,ine,equipe,faixa,indicador_id,valor,total_cadastrados
2026-09,Santa Maria Madalena,,arranchadouro,<1,sem_cpf,0,36
2026-09,Santa Maria Madalena,,arranchadouro,1-4,sem_cpf,22,188
2026-09,Santa Maria Madalena,,arranchadouro,5-9,sem_cpf,144,296
2026-09,Santa Maria Madalena,,arranchadouro,10-17,sem_cpf,318,536
2026-09,Santa Maria Madalena,,arranchadouro,18-59,sem_cpf,1512,3050
2026-09,Santa Maria Madalena,,arranchadouro,60+,sem_cpf,717,1556
2026-09,Santa Maria Madalena,,manoel-de-moraes,<1,sem_cpf,0,13
2026-09,Santa Maria Madalena,,manoel-de-moraes,1-4,sem_cpf,2,53
2026-09,Santa Maria Madalena,,manoel-de-moraes,5-9,sem_cpf,14,90
2026-09,Santa Maria Madalena,,manoel-de-moraes,10-17,sem_cpf,48,140
2026-09,Santa Maria Madalena,,manoel-de-moraes,18-59,sem_cpf,261,870
2026-09,Santa Maria Madalena,,manoel-de-moraes,60+,sem_cpf,89,413
2026-09,Santa Maria Madalena,,triunfo,<1,sem_cpf,0,13
2026-09,Santa Maria Madalena,,triunfo,1-4,sem_cpf,3,82
2026-09,Santa Maria Madalena,,triunfo,5-9,sem_cpf,18,144
2026-09,Santa Maria Madalena,,triunfo,10-17,sem_cpf,19,211
2026-09,Santa Maria Madalena,,triunfo,18-59,sem_cpf,139,1272
2026-09,Santa Maria Madalena,,triunfo,60+,sem_cpf,90,668
