competencia,municipio,ine,equipe,grupo_id,indicador_id,valor,total_grupo
2026-09,Santa Maria Madalena,,arranchadouro,hipertensos,falha_identificacao_vinculo,699,1429
2026-09,Santa Maria Madalena,,arranchadouro,diabeticos,falha_identificacao_vinculo,171,396
2026-09,Santa Maria Madalena,,arranchadouro,gestantes,falha_identificacao_vinculo,4,18
2026-09,Santa Maria Madalena,,arranchadouro,criancas_0_2,falha_identificacao_vinculo,48,135
2026-09,Santa Maria Madalena,,arranchadouro,idosos_60_mais,falha_identificacao_vinculo,843,1556
2026-09,Santa Maria Madalena,,arranchadouro,hipertensos,sem_cns,75,1429
2026-09,Santa Maria Madalena,,arranchadouro,diabeticos,sem_cns,22,396
2026-09,Santa Maria Madalena,,arranchadouro,gestantes,sem_cns,1,18
2026-09,Santa Maria Madalena,,arranchadouro,criancas_0_2,sem_cns,44,135
2026-09,Santa Maria Madalena,,arranchadouro,idosos_60_mais,sem_cns,110,1556
2026-09,Santa Maria Madalena,,arranchadouro,hipertensos,sem_cpf,614,1429
2026-09,Santa Maria Madalena,,arranchadouro,diabeticos,sem_cpf,145,396
2026-09,Santa Maria Madalena,,arranchadouro,gestantes,sem_cpf,3,18
2026-09,Santa Maria Madalena,,arranchadouro,criancas_0_2,sem_cpf,4,135
2026-09,Santa Maria Madalena,,arranchadouro,idosos_60_mais,sem_cpf,717,1556
2026-09,Santa Maria Madalena,,manoel-de-moraes,hipertensos,falha_identificacao_vinculo,68,353
2026-09,Santa Maria Madalena,,manoel-de-moraes,diabeticos,falha_identificacao_vinculo,16,107
2026-09,Santa Maria Madalena,,manoel-de-moraes,gestantes,falha_identificacao_vinculo,1,6
2026-09,Santa Maria Madalena,,manoel-de-moraes,criancas_0_2,falha_identificacao_vinculo,7,32
2026-09,Santa Maria Madalena,,manoel-de-moraes,idosos_60_mais,falha_identificacao_vinculo,114,413
2026-09,Santa Maria Madalena,,manoel-de-moraes,hipertensos,sem_cns,9,353
2026-09,Santa Maria Madalena,,manoel-de-moraes,diabeticos,sem_cns,3,107
2026-09,Santa Maria Madalena,,manoel-de-moraes,gestantes,sem_cns,1,6
2026-09,Santa Maria Madalena,,manoel-de-moraes,criancas_0_2,sem_cns,7,32
2026-09,Santa Maria Madalena,,manoel-de-moraes,idosos_60_mais,sem_cns,23,413
2026-09,Santa Maria Madalena,,manoel-de-moraes,hipertensos,sem_cpf,58,353
2026-09,Santa Maria Madalena,,manoel-de-moraes,diabeticos,sem_cpf,13,107
2026-09,Santa Maria Madalena,,manoel-de-moraes,gestantes,sem_cpf,0,6
2026-09,Santa Maria Madalena,,manoel-de-moraes,criancas_0_2,sem_cpf,0,32
2026-09,Santa Maria Madalena,,manoel-de-moraes,idosos_60_mais,sem_cpf,89,413
2026-09,Santa Maria Madalena,,triunfo,hipertensos,falha_identificacao_vinculo,19,571
2026-09,Santa Maria Madalena,,triunfo,diabeticos,falha_identificacao_vinculo,7,187
2026-09,Santa Maria Madalena,,triunfo,gestantes,falha_identificacao_vinculo,2,4
2026-09,Santa Maria Madalena,,triunfo,criancas_0_2,falha_identificacao_vinculo,10,55
2026-09,Santa Maria Madalena,,triunfo,idosos_60_mais,falha_identificacao_vinculo,109,668
2026-09,Santa Maria Madalena,,triunfo,hipertensos,sem_cns,8,571
2026-09,Santa Maria Madalena,,triunfo,diabeticos,sem_cns,2,187
2026-09,Santa Maria Madalena,,triunfo,gestantes,sem_cns,2,4
2026-09,Santa Maria Madalena,,triunfo,criancas_0_2,sem_cns,8,55
2026-09,Santa Maria Madalena,,triunfo,idosos_60_mais,sem_cns,13,668
2026-09,Santa Maria Madalena,,triunfo,hipertensos,sem_cpf,5,571
2026-09,Santa Maria Madalena,,triunfo,diabeticos,sem_cpf,1,187
2026-09,Santa Maria Madalena,,triunfo,gestantes,sem_cpf,0,4
2026-09,Santa Maria Madalena,,triunfo,criancas_0_2,sem_cpf,0,55
2026-09,Santa Maria Madalena,,triunfo,idosos_60_mais,sem_cpf,90,668
