competencia,municipio,ine,equipe,microarea,indicador_id,valor,total_cadastrados
2026-09,Santa Maria Madalena,,arranchadouro,MICROAREA 13,desatualizado,0,1064
2026-09,Santa Maria Madalena,,arranchadouro,MICROAREA 13,nunca_editado,91,1064
2026-09,Santa Maria Madalena,,arranchadouro,MICROAREA 13,possivel_duplicata,40,1064
2026-09,Santa Maria Madalena,,arranchadouro,MICROAREA 13,sem_cns,238,1064
2026-09,Santa Maria Madalena,,arranchadouro,MICROAREA 13,sem_cpf,166,1064
2026-09,Santa Maria Madalena,,arranchadouro,MICROAREA 13,sem_endereco,1,1064
2026-09,Santa Maria Madalena,,arranchadouro,MICROAREA 13,sem_vinculo_familiar,4,1064
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 04,desatualizado,0,556
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 04,nunca_editado,25,556
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 04,possivel_duplicata,47,556
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 04,sem_cns,19,556
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 04,sem_cpf,401,556
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 04,sem_endereco,84,556
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 04,sem_vinculo_familiar,110,556
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 06,desatualizado,122,389
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 06,nunca_editado,152,389
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 06,possivel_duplicata,11,389
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 06,sem_cns,19,389
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 06,sem_cpf,267,389
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 06,sem_endereco,5,389
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 06,sem_vinculo_familiar,11,389
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 07,desatualizado,7,410
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 07,nunca_editado,7,410
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 07,possivel_duplicata,12,410
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 07,sem_cns,6,410
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 07,sem_cpf,222,410
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 07,sem_endereco,4,410
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 07,sem_vinculo_familiar,10,410
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 08,desatualizado,0,250
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 08,nunca_editado,7,250
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 08,possivel_duplicata,8,250
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 08,sem_cns,19,250
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 08,sem_cpf,51,250
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 08,sem_endereco,1,250
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 08,sem_vinculo_familiar,4,250
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 09,desatualizado,0,643
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 09,nunca_editado,7,643
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 09,possivel_duplicata,19,643
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 09,sem_cns,11,643
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 09,sem_cpf,241,643
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 09,sem_endereco,13,643
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 09,sem_vinculo_familiar,18,643
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 10,desatualizado,5,247
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 10,nunca_editado,24,247
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 10,possivel_duplicata,10,247
2026-09,Santa Maria Madalena,,arranchadouro,MICROÁREA 10,sem_cns,5,247
